date,close,N_price
2007/10/16,19030,19.03
2007/10/17,18970,18.97
2007/10/18,18920,18.92
2007/10/19,18900,18.9
2007/10/22,18730,18.73
2007/10/23,18530,18.53
2007/10/24,18340,18.34
2007/10/25,17750,17.75
2007/10/26,18100,18.1
2007/10/29,18030,18.03
2007/10/30,17900,17.9
2007/10/31,17900,17.9
2007/11/1,17910,17.91
2007/11/2,18000,18
2007/11/5,18330,18.33
2007/11/6,18440,18.44
2007/11/7,18470,18.47
2007/11/8,18180,18.18
2007/11/9,18280,18.28
2007/11/12,18110,18.11
2007/11/13,17890,17.89
2007/11/14,17880,17.88
2007/11/15,17880,17.88
2007/11/16,17810,17.81
2007/11/19,17840,17.84
2007/11/20,17650,17.65
2007/11/21,17550,17.55
2007/11/22,17800,17.8
2007/11/23,17840,17.84
2007/11/26,17780,17.78
2007/11/27,17800,17.8
2007/11/28,17760,17.76
2007/11/29,17850,17.85
2007/11/30,17760,17.76
2007/12/3,17730,17.73
2007/12/4,17680,17.68
2007/12/5,17740,17.74
2007/12/6,17760,17.76
2007/12/7,17750,17.75
2007/12/10,17680,17.68
2007/12/11,17690,17.69
2007/12/12,17560,17.56
2007/12/13,17600,17.6
2007/12/14,17620,17.62
2007/12/17,17590,17.59
2007/12/18,17770,17.77
2007/12/19,17840,17.84
2007/12/20,17850,17.85
2007/12/21,17850,17.85
2007/12/24,18250,18.25
2007/12/25,17960,17.96
2007/12/26,17950,17.95
2007/12/27,17900,17.9
2007/12/28,17810,17.81
2008/1/2,17730,17.73
2008/1/3,17770,17.77
2008/1/4,18070,18.07
2008/1/7,17890,17.89
2008/1/8,17920,17.92
2008/1/9,18000,18
2008/1/10,17950,17.95
2008/1/11,17970,17.97
2008/1/14,17870,17.87
2008/1/15,17870,17.87
2008/1/16,17980,17.98
2008/1/17,18020,18.02
2008/1/18,18060,18.06
2008/1/21,18060,18.06
2008/1/22,17990,17.99
2008/1/23,18180,18.18
2008/1/24,18330,18.33
2008/1/25,18450,18.45
2008/1/28,18450,18.45
2008/1/29,19000,19
2008/1/30,19370,19.37
2008/1/31,19560,19.56
2008/2/1,19610,19.61
2008/2/4,19520,19.52
2008/2/5,19410,19.41
2008/2/13,19090,19.09
2008/2/14,19450,19.45
2008/2/15,19380,19.38
2008/2/18,19470,19.47
2008/2/19,19310,19.31
2008/2/20,19250,19.25
2008/2/21,19390,19.39
2008/2/22,19590,19.59
2008/2/25,19600,19.6
2008/2/26,19350,19.35
2008/2/27,19510,19.51
2008/2/28,19810,19.81
2008/2/29,19710,19.71
2008/3/3,19900,19.9
2008/3/4,20100,20.1
2008/3/5,20330,20.33
2008/3/6,20690,20.69
2008/3/7,20740,20.74
2008/3/10,20140,20.14
2008/3/11,19900,19.9
2008/3/12,19280,19.28
2008/3/13,19400,19.4
2008/3/14,19420,19.42
2008/3/17,19380,19.38
2008/3/18,18940,18.94
2008/3/19,19150,19.15
2008/3/20,18900,18.9
2008/3/21,19210,19.21
2008/3/24,19170,19.17
2008/3/25,19440,19.44
2008/3/26,19250,19.25
2008/3/27,19270,19.27
2008/3/28,19230,19.23
2008/3/31,19190,19.19
2008/4/1,18950,18.95
2008/4/2,19020,19.02
2008/4/3,19080,19.08
2008/4/7,19030,19.03
2008/4/8,18990,18.99
2008/4/9,19010,19.01
2008/4/10,19080,19.08
2008/4/11,18950,18.95
2008/4/14,18700,18.7
2008/4/15,18720,18.72
2008/4/16,18830,18.83
2008/4/17,18905,18.905
2008/4/18,18870,18.87
2008/4/21,18700,18.7
2008/4/22,18740,18.74
2008/4/23,18820,18.82
2008/4/24,18850,18.85
2008/4/25,18700,18.7
2008/4/28,18755,18.755
2008/4/29,18640,18.64
